experiment,bootstrap_type,dataset,preprocessing,classifier,h_mean
fairboost,custom,adult,"LFR,OptimPreproc",Logistic Regression,"[0.409265470780114, 0.5319188671564231, 0.4443244903143283, 0.5405923072127734, 0.4652978233739288, 0.5482622134444015, 0.45871741961756496, 0.4440319666629298, 0.5087282242251446, 0.4635893353746665]"
fairboost,custom,adult,"LFR,OptimPreproc",Random Forest,"[0.581908159083726, 0.4710986250804173, 0.34517262998859227, 0.4935347912028141, 0.48567963237464773, 0.49546970606320545, 0.44333546518446054, 0.49152081184176016, 0.34609486430872927, 0.47745873743934886]"
fairboost,custom,adult,"OptimPreproc,Reweighing",Logistic Regression,"[0.4326317800363283, 0.47649250458679265, 0.4205352581062981, 0.5307419332597665, 0.44278474497089615, 0.5417150233577512, 0.5428044727106967, 0.5565553459599276, 0.461306756538228, 0.5573824998422979]"
fairboost,custom,adult,"OptimPreproc,Reweighing",Random Forest,"[0, 0.4555669948214476, 0.3446761856720782, 0.4861649945872349, 0.4943329974136284, 0.491870575933152, 0.5401794263423285, 0.5349167183137881, 0.47799197633647433, 0.4563396697356995]"
fairboost,custom,adult,"LFR,Reweighing",Logistic Regression,"[0.547141173052435, 0.5229612190167138, 0.5174969118120339, 0.5406188003597168, 0.5365136759279863, 0.5412600669973188, 0.5422755194975076, 0.5164229848648649, 0.49868723958155864, 0.5775911226699748]"
fairboost,custom,adult,"LFR,Reweighing",Random Forest,"[0.5570806404389315, 0.45262952911639365, 0.5283117668238777, 0.47797694474510355, 0.4533634046375752, 0.5389838716048639, 0.44548555383434146, 0.5053678661941418, 0.49868723958155864, 0.5293747809765709]"
fairboost,custom,adult,"LFR,OptimPreproc,Reweighing",Logistic Regression,"[0.5301362534454189, 0.45736687328907444, 0.4500568595318398, 0.4507277327891812, 0.46428370085147513, 0.5492967292992063, 0.5454975982547067, 0.5243682772786113, 0.5064269076142286, 0.49587828710098963]"
fairboost,custom,adult,"LFR,OptimPreproc,Reweighing",Random Forest,"[0.2808009456218874, 0.47104901744920447, 0.5105019396838096, 0.4916630715870079, 0.47364691632011274, 0.398845825685474, 0.44200474360039604, 0.19284111788860425, 0.3110636200231335, 0.30539827912735656]"
ensemble,none,compas,No Preprocessing,Logistic Regression,"[0.7039543058478847, 0.6722019931940838, 0.6982299683375244, 0.7189170704113879, 0.7113431592274, 0.6893133922419816, 0.6789675436007805, 0.6984891157274641, 0.6872491869402828, 0.6911355848783781]"
ensemble,none,compas,No Preprocessing,Random Forest,"[0.7377051591409405, 0.6785058892389606, 0.7027834364788121, 0.7372240947246347, 0.7335465659485038, 0.7094955636257596, 0.6979357100736465, 0.7600917807424478, 0.7311871254284056, 0.7251616144505838]"
